code,Action,Subaction,Instance,definition
T2.3.3.5,Evaluate,Evaluating without ground truth,Evaluate intermediate results,Agents with domain expertise verify intermediate results and reduce errors”
T2.3.3.6,Evaluate,Evaluating without ground truth,Provide qualitative judgement,"Upon successful generation of a result, the Evaluator agent, ALLMe assesses the outcome and provides natural language feedback if it deems revisions are necessary.”"
T2.3.3.7,Evaluate,Evaluating without ground truth,Simulate counterfactual outcomes,"Mentally simulate an alternative scenario — either before acting (imagine 'if I do X, what happens?') or post-hoc (imagine 'what would have happened if action X had been different?'). Includes counterfactual trajectory generation for causal analysis."
T2.3.3.8,Evaluate,Evaluating without ground truth,Validate predicted issues,"The agent assesses the contextual applicability of potential bugs, reducing the probability that the LLM forcibly generates trivial results”"
T2.4.1.1,Deciding,Make a decision,Make a decision according to memory,"The agent conditions its decisions on I, the current observation st, and a history buffer of n past state-action pairs."
T2.4.2.1,Deciding,Pick scores,Select action by score,Argmax = highest score; softmax = probabilistic sample; majority vote across evaluators.
T2.4.3.1,Deciding,Decide accept or not,Decline out-of-scope queries,Appropriately reject queries that exceed their knowledge boundaries or conflict with their role settings”
T2.4.4.1,Deciding,Decide under uncertainty,Fork trajectory at uncertainty,Fork the current generative state and generate a new parallel trajectory from this point of high uncertainty”
T3.1.1.1,Grounding,Interact with users,Accept instructions from humans,Receive task or command from human user.
T3.1.1.2,Grounding,Interact with users,Ask for clarification from people,Proactively ask human when unclear.
T3.1.1.3,Grounding,Interact with users,Communicate task outcome natural language,Agent informs the user: ‘Buy a nice rich navy bathing dress’.
T3.1.1.4,Grounding,Interact with users,Communicate via visualization,"CellAgent generated differential expression and marker gene visualizations, enabling intuitive interpretation of cluster identities”"
T3.1.1.5,Grounding,Interact with users,Communicate via structured format,Generate outputs in a JSON format (or lists of JSON objects)”
T3.1.1.6,Grounding,Interact with users,Communicate refusal/inability,"Recognize and refuse queries that conflict with their role knowledge"""
T3.1.1.7,Grounding,Interact with users,Express tone to user,"Models exhibit a strong default tendency to excessively affirm, apologize, and express gratitude”"
T3.1.1.8,Grounding,Interact with users,Disclose self-information to user,"Identity disclosure, S2S systems often proactively mention that they are intelligent assistants."
T3.1.2.1,Grounding,Interact with physical environments,Perceive physical environment,Convert images to text via VLMs.
T3.1.2.2,Grounding,Interact with physical environments,Affect physical environments,Send language commands to robot arm.
T3.1.3.1,Grounding,Interact with digital environments,Navigate digital interfaces,"Browse websites, scroll pages, navigate menus, move within apps."
T3.1.3.2,Grounding,Interact with digital environments,Modify digital objects,Annotate UI Components.
T3.1.3.3,Grounding,Interact with digital environments,Issue operational commands,Invoke structured API or data endpoint.
T3.1.4.1,Grounding,Interact with other agents,Monitor peer agent's state or decision,"Observe another agent's chosen action before making one's own decision — a prerequisite for oversight, override, or trust-based deference in multi-agent systems."
T3.1.4.2,Grounding,Interact with other agents,Receive feedback from peer agent,Evaluator provides natural-language feedback.
T3.1.4.3,Grounding,Interact with other agents,Send message to peer agent,"Agent engages in multi-turn interactions...to generate deliverables"""
T3.1.4.4,Grounding,Interact with other agents,Recommend action to peer agent,"Communicate a proposed action to a peer agent for their consideration, knowing the peer may accept or override it — agent-to-agent advisory communication."
T3.1.4.5,Grounding,Interact with other agents,Override peer agent's decision,Replace another agent's selected action with one's own decision — the active side of human-in-the-loop oversight or hierarchical agent control.
T3.1.4.6,Grounding,Interact with other agents,Dispatch task to sub-agent,A central orchestrator maintains a high-level route plan while dynamically dispatching sub-agents based on game context”
T3.1.4.7,Grounding,Interact with other agents,Argue or debate with peer agent,Multi-agent argumentation toward better answer.
T3.1.5.1,Grounding,Augment with external computation,Execute code,Test Runner detects logic inconsistencies.
T3.1.5.2,Grounding,Augment with external computation,Invoke specialized computation tool,Use calculator / heavy compute tools.
T3.1.5.3,Grounding,Augment with external computation,Invoke visual inspection tool,Zoom-in tool for region-of-interest.
T3.2.1.1,Executing,Executing plan,Execute strategy,An insertion agent executes this plan for HLS-C optimization”
T3.2.2.1,Executing,Executing debug,Adopt debugging instructions,"Operating under strict instruction adherence, this agent adopts the instructions to implement debugging”"
T3.2.2.2,Executing,Executing debug,Rewrite code after bug fix,Debugging specialist rewrites the entire code every time it fixes a bug.
T3.2.3.1,Executing,Terminating,Provide final answer,"Final Answer: The average number of lines per scene in the ep_7.csv dataset is approximately 6.02"" (p32)"
T3.2.3.2,Executing,Terminating,Generate refusal,Providing clear refusal responses with appropriate explanations”
T4.1.1.1,Learning,Learning reasoning,Update reasoning via prompt update,Rewrite own prompt template.
T4.1.2.1,Learning,Learning grounding,Update grounding via code-based skills,Improve web-navigation code snippets.
T4.1.2.2,Learning,Learning grounding,Update retrieval procedures,Improve how the agent searches for information.
T4.1.3.1,Learning,Learning knowledge,Update source code as procedural memory,Self-patch agent's own source code.
T4.1.3.2,Learning,Learning knowledge,Update semantic memory with knowledge,Expand Error Repository with new mnemonic.
T4.1.3.3,Learning,Learning knowledge,Update memory from new experiences,Refinement of memories (represented in text) as the system encounters new scenarios.
T4.1.3.4,Learning,Learning knowledge,Update hypothesis with new evidence,"Allowing the model to update its textual understanding, refine its hypothesis, or even trigger further visual exploration”"
T4.1.4.1,Learning,Learning LLM parameters,Update parametric policy,Change the model's internal weights through training.
T4.1.4.2,Learning,Learning LLM parameters,Update LLM parameters via SL/RL/RLHF,SL/RL/RLHF weight adjustment.
T4.1.4.3,Learning,Learning LLM parameters,Update action parameters based on feedback,Auto-adjust params from exception info.
T4.1.5.1,Learning,Learning instructions,Learning instructions,Extract rule from examples for future use.
T4.2.1.1,Reflection,Reflect on errors and failures,Diagnose failure against ground truth,"Analyzes stuck states by comparing current situation against ground truth sources (porymap data, knowledge base) to diagnose navigation failures”"
T4.2.1.2,Reflection,Reflect on errors and failures,Inspect Error Pattern,An inspection agent examines the erroneous code and error messages parsed from the HLS tool test results”
T4.2.1.3,Reflection,Reflect on errors and failures,Analyze log to formulate fix instructions,Reasoning-to-instruction on HLS log.
T4.2.1.4,Reflection,Reflect on errors and failures,Reflect on failed episodes for prior knowledge,"RequireReplan...dynamically adjust the plan, improving the robustness to exceptions"""
T4.2.1.5,Reflection,Reflect on errors and failures,Self-Correct Step Implementation,Modify step implementation based on error message”
T4.2.2.1,Reflection,Reflect on self-outcomes,Self-reflect,"The results of the execution are fed back, enabling GPT-4 to refine its responses and propose further iterations"""
T4.2.2.2,Reflection,Reflect on self-outcomes,Reflect on proposed fix,Reflects on the code after assuming the fix to ensure the modification is reasonable”
T4.2.2.3,Reflection,Reflect on self-outcomes,Pre-action self-check,"These steps are labeled as reflective, indicating the model is engaging in self-monitoring or explicit reasoning before issuing commands”"
T4.2.2.4,Reflection,Reflect on self-outcomes,Refine Strategy Iteratively,Iterative refinement using current QoR.
T4.2.3.1,Reflection,Reflect on external feedback,Receive and integrate external feedback,"The Evaluator drives a self-reflective optimization mechanism, which leverages automated evaluation methods for various analysis tasks to iteratively refine outcomes, replacing subjective manual assessments."
